rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,24434776563.184544,57141063507.428444,720198214.8611392,1003541544.3104758,448424020.0435089,8198499679.4861965,41401100.9731593,182183983.40132365,140388216.24135184,171088706169.7602,102302446298.75148,44402457099.0117,44021695767.53497,0.42155516963862366,0.026048831162094138,0.7164075994146336,0.6030899782035659,0.7782296779295684,0.7715616739507092
2,24973668212.735863,57172958424.282455,762513491.1729817,1055767065.1938999,455572197.0577128,8380698440.052452,44500851.85811361,186457733.63853574,141545612.04935178,171198015414.03992,103762246002.86125,44235539346.841484,43854016213.08342,0.4300962905271639,0.026346789748205528,0.721328641963494,0.6110608584034075,0.7750777731839178,0.7684055204433251
3,24781297884.62572,57065661494.183205,765469257.4390615,1056856010.7855875,451899865.12875324,8328002380.793958,44073146.379787795,184075054.44257754,139646529.90811786,170881092879.741,103916757173.6443,44200700472.215996,43819769288.69731,0.4275933217137532,0.02631404601295178,0.7221432940071317,0.6131522152759139,0.7759452937471729,0.7692729963028471
