rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,7669,1.001066161,7680.029417306,7679.028351145
2,epidemiology_2.perf,7673,7681.030642881,15364.079614377,7683.048971496
3,epidemiology_3.perf,7682,15365.080824107,23057.139717585,7692.058893477999
