rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,1932,1.001174792,1934.770420642,1933.76924585
2,epidemiology_2.perf,1926,1935.771627087,3863.536012361,1927.7643852739998
3,epidemiology_3.perf,1922,3864.537438948,5788.295014456,1923.7575755080002
