rep,instructions,cycles,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_HIT,MEM_LOAD_RETIRED.L3_MISS,IPC,L1_miss_rate,L2_miss_rate,L3_miss_rate
1,2206170337.6082063,3457326178.696661,48122490.6370187,728414494.1331038,3151852.053071028,16924297.86105248,13778811.613602571,0.0,0.0,0.6378270244664371,0.02399362774866576,0.8254899528690125,
2,2193146158.9519644,3455592591.763048,47808198.262934245,724232915.6031741,3165714.559170802,16845736.666304797,13685734.703670388,0.0,0.0,0.634329018926567,0.024015447437297003,0.8233624790952122,
3,2191655230.8213696,3452031663.996454,47972593.27563897,723564427.7671108,3146376.828078179,16852009.41062782,13711195.261465084,0.0,0.0,0.6346058580907087,0.023992336706329682,0.8250869707487812,
