rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,15969,1.001128113,15989.744485826,15988.743357713001
2,epidemiology_2.perf,15932,15990.745748728,31942.466440294,15951.720691565999
3,epidemiology_3.perf,15907,31943.467750826,47869.656397625,15926.188646799004
