rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,1654499610.2764282,1908511852.3154047,57210193.47176408,92214881.97998272,34236572.211649865,536928508.9615582,17490756.000269383,21868541.816932816,11359372.82404514,5327133837.381465,4118823938.0037313,1731184620.4792583,1731156892.2717733,0.05240410108844469,0.0019525552363278327,0.03081489861977694,0.021752839621000896,0.023154787080582107,0.023660344801274467
2,1725935637.8516552,1861463764.0330741,52990641.732216455,85366508.27310356,35642604.946185194,550774170.2993268,17900332.635982003,21706834.991599806,10952313.888270099,5243758242.547063,3837834421.227136,1653117789.7689092,1653841730.0293472,0.026214535204419045,0.0023890022702904006,0.025243177237158358,0.01726484202199369,0.012494927990344596,0.01284652845686911
3,1726215524.4080195,1894399230.805859,52793718.697962776,84745717.81612368,35274753.46004747,553991452.7310193,17739279.573386144,21307904.897686973,10823321.364749828,5346430334.062229,3857588185.333818,1684606778.3247457,1684700361.744793,0.025843073412311304,0.0020653855538410966,0.024811991512779193,0.017078625793365543,0.012615885968673954,0.012923929046121265
