rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,7768,1.001062097,7779.111310883,7778.110248786001
2,epidemiology_2.perf,7826,7780.112541055,15616.307671516,7836.195130461
3,epidemiology_3.perf,7761,15617.308950262,23388.43990708,7771.130956817999
