rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
1,instructions,15969,23908534984.805916,5770905604.07131,0.2413742877904803,1180069495.0335832,42327814371.823135,14048187303.286386,14865701448.373941,17695804751.54409,26152122099.6138,29482060083.727512,30130317346.64339,30656049035.3207,0.2823782955598051
1,cycles,15969,43150419191.72056,2736714903.609207,0.06342267247624588,5074230277.82166,47299557053.95454,37929142335.46212,39005353685.818596,40653035438.931175,44001909643.93543,45432201812.95989,45695273399.62337,46094815723.97748,0.39329246201107587
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,15969,404858928.4520456,114282048.41038588,0.28227622112061745,79529858.85945682,661029192.7877376,280025411.84827405,288327950.24034417,296656822.1975384,373191040.84578395,496353710.9979606,619100148.9739317,648784506.7362503,0.18059499043350621
1,MEM_LOAD_RETIRED.L1_HIT,15969,6597569046.790235,1703462185.6601737,0.25819543131404143,146004710.33998805,10140208139.078196,2881017175.917638,3393740054.4381223,5183397327.627145,7167610016.606229,8123616724.336848,8329904633.543561,8346190492.217959,0.19211227627959604
1,MEM_LOAD_RETIRED.L2_HIT,15969,35055316.406137146,25943583.091445066,0.7400755648835939,2123726.3930687853,140922561.27889097,8159436.511957258,10439045.361119533,22554889.93650764,24859157.843408912,39394967.424770035,99862906.17131227,135496591.74546853,0.7359858795350726
1,MEM_LOAD_RETIRED.L1_MISS,15969,166034936.61178374,49991611.3577247,0.30109091723637105,32405870.71159652,300143954.32694954,93687498.08184697,110393564.14076519,132657409.90869953,139343689.05247113,211925714.74239242,265855792.04956156,277490952.1261616,0.3243512841100427
1,MEM_LOAD_RETIRED.L2_MISS,15969,196423602.51779985,48787727.394628204,0.24838016801064972,11805865.201863965,340928693.1202518,120154992.89729975,144667006.90647843,159408615.6546675,173342313.21256492,233049236.43154356,289473564.20157635,310260243.4030858,-0.06094523462607391
1,MEM_LOAD_RETIRED.L3_HIT,15969,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,MEM_LOAD_RETIRED.L3_MISS,15969,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,instructions,15932,23998886243.941803,5720735609.576927,0.23837504588451683,1204528945.9046104,43747195866.70187,14038110318.911507,14722275521.647507,18256672439.211693,26327711413.706978,29409305546.247375,30030346322.861626,30928771978.60528,0.2789156414583585
2,cycles,15932,43224803076.12096,2716632389.655251,0.06284892460634536,5064634922.74793,48066147744.666824,38123221751.55131,39090324513.19856,40728657874.89942,44067017657.348495,45454777471.032196,45752733775.64518,46210236258.764565,0.38867387326136993
2,MEM_LOAD_COMPLETED.L1_MISS_ANY,15932,408657539.9239062,113549236.33137879,0.27785914913627224,81297322.31272657,668450949.3433025,283423254.70751345,293492407.01962394,299947998.7053835,378070074.7659885,501895592.45321286,619882647.2517755,654115202.1517124,0.20259785026061186
2,MEM_LOAD_RETIRED.L1_HIT,15932,6619689221.668952,1707391066.2002168,0.25792616677701835,153747699.45875695,12229708341.351965,2900605071.8086333,3300920933.4318357,5369990930.182371,7256567065.621679,8105092563.648557,8297106249.299961,8317950811.961376,0.17386999953608007
2,MEM_LOAD_RETIRED.L2_HIT,15932,35291401.31054088,26102342.527307037,0.7396232951370724,1932334.4910211621,143470682.98873523,8250730.92769902,10118467.01040987,22987934.20699095,25194597.47959666,39895222.23015417,100788297.72494212,137383530.25676456,0.7297557168191319
2,MEM_LOAD_RETIRED.L1_MISS,15932,167800494.48472795,49974358.12287081,0.29782008853030606,20728173.907040026,302114942.7235837,95799935.86455607,111871893.43447633,136424766.37976927,141402550.7594002,210101505.3027327,269196487.5212758,280646099.33065516,0.350084554274772
2,MEM_LOAD_RETIRED.L2_MISS,15932,198757980.8550761,49494950.6215982,0.2490211985886862,23682695.20121301,353804959.37628454,122701143.64226592,145696210.63241708,162471798.3101504,175103982.88957652,237683710.83409405,293140599.3572012,317204678.63035023,-0.04535057380270038
2,MEM_LOAD_RETIRED.L3_HIT,15932,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,MEM_LOAD_RETIRED.L3_MISS,15932,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
