rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,6630,1.00103193,6638.294858258,6637.293826328
2,epidemiology_2.perf,6601,6639.296116141,13247.524585487,6608.228469346001
3,epidemiology_3.perf,6607,13248.525789643,19862.323637479,6613.797847836
