rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,10823,1.00112332,10833.926951624,10832.925828304
2,epidemiology_2.perf,10804,10834.928095047,21648.807946322,10813.879851274998
3,epidemiology_3.perf,10771,21649.80896077,32430.188677969,10780.379717199
