rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,24475750907.77443,58467657617.32329,584471272.7645531,833302559.4121622,509137910.3274428,8014413270.257796,49172543.79054054,227461268.88409564,177799737.93451142,175064618328.45895,104596434780.9262,45200184154.65645,44859410410.390335,0.4199673394959984,0.027597781108425062,0.7021351171741085,0.5971457134842547,0.7724330503298867,0.7665911857253475
2,24477419054.51351,58438643778.51663,584983050.9329522,832724471.1185031,509047642.68087316,8014763832.18763,49311309.17203742,227813246.04261956,177976175.61798337,174978710163.60864,104807289680.80145,45188028297.970894,44847120313.47765,0.41892511319164843,0.02766664429120223,0.7036053689989191,0.5991705229834279,0.7730806090410554,0.7672467835837108
3,24449713782.24403,58467292817.619415,582933335.364486,828725168.7024922,510033319.569055,8004139610.245068,49298315.92419522,227836480.49169263,178027239.6188993,175070815822.90134,104337158524.82243,45187058921.75649,44844238713.92731,0.41817025846141503,0.027698024519157483,0.7044435430854595,0.5961786322015453,0.7727495880572969,0.7668887851497339
