rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,1924,1.001040013,1926.738960005,1925.7379199920001
2,epidemiology_2.perf,1924,1927.739952191,3853.48495072,1925.7449985290002
3,epidemiology_3.perf,1926,3854.486377224,5782.228964619,1927.742587395
