metric,description,mean,std,cv_pct,range_pct,damov_threshold,damov_verdict
l2_mpki,LLC MPKI (L2_MISS×1000/instructions),6.570954230634098,0.0045894097309915095,0.06984388522439351,0.13503549960256972,1.0,✓ EXCEEDS
lfmr,LFMR (L2_MISS/L1_MISS),0.8249279670539528,0.001140027577154265,0.1381972272349573,0.26068923283352585,0.1,✓ EXCEEDS
ipc,IPC (instructions/cycles),0.635587300494571,0.001944590595296271,0.3059517699272975,0.5503579975792795,1.0,✓ EXCEEDS
l1_miss_rate,L1 miss rate (L1_MISS/(L1_HIT+L1_MISS)),0.02400047063076415,1.2986348525289824e-05,0.05410872447077657,0.09629282409861381,—,—
l2_hit_rate,L2 hit rate (L2_HIT/L1_MISS),0.17539544510606878,0.00112642987921085,0.6422229941773299,1.2084046480835284,—,—
l2_miss_rate,L2 miss rate (L2_MISS/(L2_HIT+L2_MISS)),0.8246464675710019,0.0011300745337265283,0.13703745522067964,0.2579861622480202,—,—
l3_miss_rate,L3 miss rate (L3_MISS/(L3_HIT+L3_MISS)),,0.0,,,—,—
