rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,32637,1.001041303,32684.071601199,32683.070559896
2,epidemiology_2.perf,31934,32685.072830911,64664.14396119,31979.071130278997
3,epidemiology_3.perf,32139,64665.145167657,96849.563022195,32184.417854538
