rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
1,instructions,10823,9468135794.910486,1156482997.7880569,0.12214474135549622,4200423564.7381105,46827507800.26372,7373712559.2569475,7499419931.5542145,8614702731.878082,10001630673.652954,10187208972.735775,10556875091.084831,10829453275.883057,-0.1586179353260359
1,cycles,10823,12704744272.336784,145744668.1868772,0.01147167271239143,6472691746.739237,14915021793.231869,12597233763.611637,12625202624.39331,12669751388.215958,12703062555.334372,12736474789.741045,12797576674.053236,12862024837.337135,0.501552509151489
1,L2_RQSTS.MISS,10823,189001335.6924568,84744990.27631426,0.44838302314546286,70045882.0813429,482810401.3522883,103318684.27146088,112222754.18684906,124255247.20251688,138571315.31247646,259637903.22422832,349609527.39198756,360465887.23643047,-0.3054254314135955
1,L2_RQSTS.REFERENCES,10823,258574788.82077038,104464786.30712263,0.4040022106700116,142752003.65993428,821185245.9473679,159594714.04386476,171559544.07753113,177916441.2635119,195068033.63177052,345988914.57095337,455885742.95903933,467814175.8599943,-0.3087563747597189
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,10823,247829328.3872764,52262979.39490835,0.2108829480957894,74734897.62977485,1229715534.0037565,193593840.62087902,205773163.1752179,207983741.69855386,214827718.73888338,289873821.06849986,347359797.67751586,353284073.9974656,-0.29715252772937023
1,MEM_LOAD_RETIRED.L1_HIT,10823,3598804881.338251,443890257.9198379,0.12334379677588214,1015724180.9896469,19034766347.243813,2800016166.316902,2860743592.0204973,3278590162.262456,3787896931.260425,3859850354.590849,3997752517.8915195,4101744237.3550115,-0.22612379003841376
1,MEM_LOAD_RETIRED.L2_HIT,10823,22312542.416111115,6645891.161011272,0.29785449981766776,6690164.30413904,231958308.4535697,12282406.327140301,14483580.206630783,16724931.511229843,21568561.812693093,27408125.532964103,32060952.706003405,35657602.271574356,0.2860092724092847
1,MEM_LOAD_RETIRED.L1_MISS,10823,135889955.93190956,20244314.492273383,0.14897579702224062,39725200.48562808,519201826.61923087,117310308.39093955,120367436.46380301,122082959.16623586,124433351.25169215,156019060.18799144,171053855.69957763,173964463.7393634,-0.31904167752376333
1,MEM_LOAD_RETIRED.L2_MISS,10823,113258874.18016292,17460253.74656827,0.1541623459791233,3762220.3748000697,280209512.0543331,88247886.36286108,94983713.15407015,102216392.67904079,105140492.97134158,132057767.92544386,144103851.86638907,147945081.1162412,-0.28989053306951923
1,TOPDOWN.SLOTS_P,0,,,,,,,,,,,,,
1,TOPDOWN.MEMORY_BOUND_SLOTS,0,,,,,,,,,,,,,
1,MEMORY_ACTIVITY.STALLS_L1D_MISS,10823,12027618084.979652,357082385.87540466,0.029688537111212138,418513767.437689,12705237495.743643,11738586530.223785,11782641709.652475,11858318636.796907,11933893778.069166,12216171936.130026,12493605061.35847,12568458853.966988,0.3290552386464494
1,MEMORY_ACTIVITY.STALLS_L2_MISS,10823,11988570554.253,362863363.6780029,0.0302674419803348,304898833.18731385,12688870856.571302,11694697415.460775,11738001617.490396,11813296544.769253,11888897091.137224,12182772490.948854,12467712558.609514,12542676928.754284,0.3157327185994745
2,instructions,10804,9477677573.507946,1095192269.7832341,0.11555491957697751,4113699015.263299,43103055738.637985,7415164529.38836,7530440928.268812,8658990941.506311,10010762658.977371,10203340240.346783,10542674083.640488,10836994736.582687,-0.1876423218030287
