rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,2225656887.7210083,3393859152.3804054,50727155.93178648,69160964.72384451,49950594.22686692,724522060.1553055,2975124.4701943644,18211404.703292105,15194120.472612293,0.0,0.0,2407780002.444434,2399038386.973868,0.655455582378461,0.025664974827411216,0.7187771250504618,,0.7095518309167275,0.7069772545675234
2,2219407769.7309265,3393261791.5276594,50624799.31900872,69011834.74466307,49750212.178160384,722655190.2815111,3000961.8927510674,18178862.405606087,15134987.149619455,0.0,0.0,2412081130.5015316,2403448281.65375,0.6538288795761902,0.025669476172407005,0.7186637694627448,,0.7109048852536335,0.708361659901102
3,2203543901.430646,3392491310.86786,50283931.08237362,68520731.61754775,49450034.03542852,717565950.8965358,2936915.246889598,18019055.399888996,15040833.73460987,6.403855455e-314,6.4038554666e-314,2418291823.081125,2409796137.7400675,0.6493774718475973,0.02563211323423906,0.7192400432984194,0.6667274938043359,0.7128701714478016,0.7103669455116618
