rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,96173,1.001046952,96285.18396989,96284.182922938
2,epidemiology_2.perf,96720,96286.185128163,193117.96681715,96831.78168898702
3,epidemiology_3.perf,96445,193118.967985312,289675.260097607,96556.29211229499
