rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,34653,1.001035693,34703.064140656,34702.063104963
2,epidemiology_2.perf,31965,34704.065394005,66714.107152615,32010.04175861
3,epidemiology_3.perf,33520,66715.108399287,100282.393013421,33567.284614134
