rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,7669,1.001060292,7679.925119316,7678.924059024
2,epidemiology_2.perf,7639,7680.92632731,15329.890384299,7648.964056989001
3,epidemiology_3.perf,7698,15330.891630272,23038.874668718,7707.983038445998
