rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
1,instructions,21506,4768976128.130258,702486133.0906464,0.14730334441117568,3064859335.7636094,22674733248.481373,3185056606.2101536,3359326598.7337017,4541865630.096837,5029433191.542932,5155389959.147868,5331089231.731615,5453880576.989183,0.37229560689171837
1,cycles,21506,6363165257.805127,41599883.4289505,0.006537608523984763,6296709450.585919,7534901677.170017,6310696856.397286,6319093325.061726,6343283665.485199,6361212079.819025,6380406085.424049,6402746900.962254,6421388868.022883,0.6310050423531727
1,L2_RQSTS.MISS,21506,95119811.89609851,53280741.694517896,0.5601434720320687,41063102.074223705,295446998.20526683,51405512.32362289,55401078.26698941,61604148.99627088,63340713.05138053,115641340.41006264,212864446.43988496,225697565.46958074,0.29186969381305333
1,L2_RQSTS.REFERENCES,21506,129676500.64666533,66340328.61032911,0.5115832728328258,71441799.8554829,520884093.98234445,78871381.22466253,85134663.25350502,88492190.1008808,89246729.22373536,150517247.12419954,279090570.5227562,297341534.4035393,0.26968659036227344
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,21506,124879443.40236239,33392478.119557038,0.26739771742869045,13151226.940834805,598237385.2016623,95986510.51246361,102903111.59938495,104310516.8966376,105309584.52275115,141866571.27768105,198599425.30446544,210121087.38225296,0.2658337853866028
1,MEM_LOAD_RETIRED.L1_HIT,21506,1811395411.2906234,303686931.19242823,0.16765358314342343,817196775.0319443,8675512746.246141,902561360.898907,1085357344.579098,1864645850.7470267,1911543817.1828024,1960970465.991395,2030531916.7493193,2079866939.7524886,0.030925198162127146
1,MEM_LOAD_RETIRED.L2_HIT,21506,11155953.412463404,4771655.035551434,0.42772274669241206,3214510.8213385083,156384286.21547845,4312109.06453817,6357830.202110276,7854412.418234929,9702779.307086412,13510275.520548735,20837996.912180744,24068921.88816806,0.09335957155248266
1,MEM_LOAD_RETIRED.L1_MISS,21506,68301257.77203102,14568432.720580794,0.21329669753968256,8816509.441240674,329018728.1914721,58362272.65424456,59796168.909429856,60958989.76560139,62272546.73009601,65048662.087005,106254531.39179635,108397753.69528645,0.011073879445742164
1,MEM_LOAD_RETIRED.L2_MISS,21506,56974928.20398849,13548793.96384362,0.23780273869472196,1261390.0197483653,170906889.1286366,42796168.50852433,45405957.41012617,50768909.833342575,52282674.18339646,55668659.5540307,93146818.26495561,96037693.62896755,-0.15828826278105407
1,TOPDOWN.SLOTS_P,0,,,,,,,,,,,,,
