metric,mean_of_rep_means,std_of_rep_means,cv_of_rep_means,min_rep_mean,max_rep_mean,range_pct_of_mean,mean_within_rep_cv,ratio_between_within,kruskal_H,kruskal_p,anova_F,anova_p,eta_sq
instructions,4422494174.902667,3701000.5003966875,0.0008368581967613652,4418551575.228402,4425893527.806146,0.16601384393920918,0.1148442766963557,0.007286895096862244,5.963741408627954,0.050697904311714746,0.5717489788577875,0.5645429077221605,3.529734821021713e-05
cycles,6772142740.052497,3424745.6585655194,0.0005057107905169422,6769520530.011884,6776017415.571745,0.09593544922549609,0.010674882348219233,0.04737389828013459,151.11815984066925,1.5314701378455386e-33,24.00036373606333,3.841395847533128e-11,0.001479540313651707
L2_RQSTS.MISS,100926756.4108219,117546.16873472133,0.0011646680515150034,100799409.98364595,101031102.31055613,0.22956482022178565,0.4489661530447915,0.0025941110340199952,0.4756960574582162,0.7883224843607934,0.07269194889636461,0.9298873903760076,4.487829768005709e-06
L2_RQSTS.REFERENCES,137914816.60965776,113656.56526410602,0.0008241069963192554,137806265.50360978,138032969.45019034,0.1643796889656913,0.40452975344740677,0.002037197484971642,15.276529016546998,0.0004816636503890605,0.04476465709353826,0.9562225546847711,2.763669293337245e-06
MEM_LOAD_COMPLETED.L1_MISS_ANY,99300875.43920948,152162.26395882535,0.0015323355739393942,99130157.33382611,99422218.52924843,0.294117442701819,0.21049566979067744,0.00727965366443495,59.382855846442524,1.274021312352696e-13,0.572978074007044,0.5638494815065531,3.53732246287961e-05
MEM_LOAD_RETIRED.L1_HIT,1440854595.052705,1291344.6794077314,0.000896235250830772,1439470255.6228402,1442026633.8521028,0.1774209721119764,0.1155996676263329,0.0077529223849309315,6.811478919820106,0.0331822740463229,0.6472165282954707,0.5235076696917838,3.9956207314566374e-05
MEM_LOAD_RETIRED.L2_HIT,5947776.834917106,9050.96856254486,0.0015217397716420884,5937793.573855723,5955446.320159201,0.29679570692438983,0.2929619675600316,0.0051943253396202855,0.044494746603801504,0.977998274462742,0.2899004260103501,0.7483400202624626,1.7897529711922338e-05
MEM_LOAD_RETIRED.L1_MISS,36264898.60518109,33950.32676895606,0.0009361759738687273,36235495.42104777,36302054.91300715,0.1835369586553012,0.14904269225949088,0.006281260487691657,2.1676578552972843,0.3382977251251419,0.42563186356744714,0.6533604760085998,2.6276936518968218e-05
MEM_LOAD_RETIRED.L2_MISS,30235357.029993538,41985.52217815102,0.001388623330510081,30202823.523514736,30282751.942345187,0.264354142572755,0.1536643585913052,0.009036730073519166,0.03457991029543724,0.9828586583870136,0.8809969059368147,0.4143795458529891,5.438796050698489e-05
TOPDOWN.SLOTS_P,1.920705778e-314,0.0,0.0,0.0,5.7621173334e-314,299.9999999742769,0.0,,2.000000014758068,0.3678794384568474,,,
TOPDOWN.MEMORY_BOUND_SLOTS,3.841361922e-314,0.0,0.0,0.0,1.1524085767e-313,300.00000001286173,0.0,,2.000000014758068,0.3678794384568474,,,
MEMORY_ACTIVITY.STALLS_L1D_MISS,4808367664.778431,2280056.0110608498,0.00047418503950153205,4806997673.677189,4810999709.044535,0.08323064387652693,0.025358063463516944,0.018699576179535545,39.70989511156006,2.382900114001092e-09,3.725426399250826,0.024113147671311057,0.00022994719851131704
MEMORY_ACTIVITY.STALLS_L2_MISS,4791874319.80543,3173966.579143829,0.0006623643207889278,4789949739.2819605,4795537731.3532295,0.11661391134932626,0.026048947246807924,0.025427680992754702,65.83868120791885,5.0502401214117184e-15,6.897809637860483,0.0010114793504240266,0.00042567516046525874
IPC,0.6529079693184001,0.0009341574716721493,0.0014307643888117312,0.651912735502663,0.6537658394995237,0.2838231548613521,0.11190315454897586,0.01278573776207121,11.282538174295041,0.0035483623664735366,1.762454567379274,0.17163954191678482,0.00010879844513429378
L1_miss_rate,0.025113445721972567,2.4650422052152368e-05,0.000981562718435922,0.025097685317194758,0.025141852749207973,0.1758716525887608,0.24661751412415653,0.00398010142110899,26.931071507831803,1.4190317942863825e-06,0.17122104567248453,0.8426360545555225,1.0570719910033527e-05
L2_miss_rate,0.7199440109938303,0.0008192250736846909,0.0011379010883829845,0.7192218141897192,0.7208342157684164,0.22396207956108133,0.049401239799023895,0.023033856903434798,9.393852072105801,0.009123278671453766,5.734361766502422,0.0032362276117735996,0.00035390229126311623
MemBound_frac,,,,,,,1.9999477262164447,,,,,,
StallL1D_per_cyc,0.7100578747918259,3.119563624666577e-05,4.3933934618796636e-05,0.710029128935701,0.710091047308649,0.008720186782824305,0.02593851298093706,0.0016937722933880177,2.700919507595245,0.25912110134563227,0.03040029150948853,0.9700571778526429,1.8768473192025256e-06
StallL2_per_cyc,0.7076226574749426,0.00013073877622346342,0.00018475775873258123,0.7075236622379584,0.7077708596267613,0.03493350392214088,0.02667367414161373,0.006926595779482053,8.588734984085022,0.01364519966573471,0.5105676596900887,0.6001596277066705,3.152039304811098e-05
