rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,10265319586.605385,2870019176.8815975,184518236.0269642,249381879.66372007,148233564.04315543,3705092551.435613,45240393.22883475,65306348.23082962,30623281.834801123,8553866425.412278,12109088154.231758,913975644.8843898,953157573.003655,0.16009532498976303,0.013866894670977788,0.030575160899668247,0.09980587725603618,0.037646470228788205,0.03818170853599553
2,10230119602.557858,2848950131.058152,181927239.2351587,250786990.25477847,151787807.08040342,3694574017.5171432,48023230.066931784,68104363.7117502,30987240.180728126,8500604824.4803095,12404131105.14973,868184321.5138944,911347891.3371581,0.15944710086845415,0.014056595905822436,0.03189589124508192,0.10136801778208038,0.03710587233513375,0.03753849835052482
3,10181545645.717237,2849952900.393333,181966511.35646677,258600708.7260388,153812905.15456095,3676565515.855284,47271769.15163666,68828000.18041989,31263296.49598976,8502106009.659423,12392801919.10843,859247196.9734043,900091470.235795,0.15857620891729332,0.01447313497106166,0.030308215926549364,0.10130452312343831,0.03676953999863947,0.037269021158928384
4,10209927138.475096,2860044832.14511,179246165.79234678,227861008.3816096,132044310.89279765,3690509199.376811,24742822.73914185,49027184.14924452,30046070.557457592,8539644244.228014,12726225427.17198,833464842.7037814,859291692.0673485,0.15938468611575893,0.01359135945375892,0.02299162047623979,0.10333085907136712,0.036734315658445725,0.0369870181200514
