rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,25668086125.22336,57070112347.01224,889421739.2340583,1186387573.7064536,448802961.1603505,8652907285.54662,40196896.37920737,183799319.85275638,143241183.10149232,170889054224.0416,105707596373.04997,44064358781.15117,43694095207.17378,0.4423599707578873,0.02581577080506473,0.7501047103449429,0.6233024429338673,0.7738242938271993,0.767346703279245
2,25743747615.709896,57071783259.58752,922797264.0915103,1218145949.9156938,451835270.54801154,8678114364.347366,41030520.86764525,183508834.8023007,142106487.8059437,170906591533.14124,105152776659.1778,44048387384.4757,43689025463.92084,0.44369936978367924,0.02574514094631368,0.7584861174849256,0.6200604646868092,0.7735135554844654,0.7672214486720863
3,25759897752.608433,57076173274.29203,905285711.598171,1205279053.375322,459378020.6194323,8676833618.890434,46436474.137582295,189917268.31887734,143136551.83506542,170912607338.95386,104997588120.42877,44058346968.72325,43693885213.59304,0.44398531876315667,0.02657352220539652,0.7524587107216549,0.6191306375290188,0.7736166701731769,0.7672395888236594
4,25680495154.930893,57077671405.51628,927837531.9096245,1216296004.8326077,446352415.2575375,8662580469.994501,38002787.53269736,179852954.03380442,141479968.57517716,170916292248.67828,104858876030.24983,44086892195.83444,43732984465.453926,0.44256927219239395,0.025454455691786462,0.7622116017820573,0.6184121316223518,0.774102706664713,0.7679038423013863
