rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,33327,1.000963535,33374.962359928,33373.961396393
2,epidemiology_2.perf,31616,33375.963553639,65036.334347235,31660.370793596005
3,epidemiology_3.perf,32062,65037.335526336,97144.289994464,32106.954468127995
