rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,122226,1.001053674,122403.318008337,122402.316954663
2,epidemiology_2.perf,121877,122404.320009118,244457.14700702,122052.82699790198
3,epidemiology_3.perf,121818,244458.148026836,366451.824011148,121993.67598431202
4,epidemiology_4.perf,121493,366452.828007327,488120.687240068,121667.859232741
