rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
1,instructions,122226,51336069866.56705,20530666169.34284,0.39992672253069317,1354955407.2876067,88014104058.29813,21365137292.811756,21979602153.010036,29083570055.17094,54212793333.91557,73955692319.85294,74580434555.20047,74719255998.0726,0.3014718183839766
1,cycles,122226,97833206351.47194,4920436334.306159,0.05029413343184504,5782423651.5301485,108334087522.33511,92162375157.26389,92352983087.55963,92581989637.7082,97718113966.06512,103237053562.2051,103457049187.82378,103664249995.15292,0.35310596396646826
1,L2_RQSTS.MISS,122226,1524748732.757047,316324916.9005484,0.20746035730659074,82590145.69755305,2852459128.829545,1084872313.1615832,1127755352.910486,1330075128.8077135,1456043901.7315626,1632937832.5071082,2165403824.3896003,2179317500.7112675,0.06442778818178586
1,L2_RQSTS.REFERENCES,122226,2033795269.609904,427512381.0970588,0.21020423613191833,177453715.03141823,6169006854.408064,1477882537.700853,1514083804.0028603,1779870640.9137974,1927953447.495042,2191540296.917901,2834991319.6078615,2882442601.460813,0.16090420549103898
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,122226,897608128.2680031,296469402.8894398,0.33028823330900314,129567917.55661628,3679403782.8386755,620607330.3599643,627761448.6597805,632472809.7094554,846279551.7859197,1055128326.1352813,1353292153.5711017,1445425193.4494894,0.36218576608102426
1,MEM_LOAD_RETIRED.L1_HIT,122226,17305869523.394005,7410226855.996877,0.4281915361709946,198627376.29544154,27496284272.53757,4885295865.35303,5099215277.958002,9867565863.060297,19518856719.179077,24878593811.291412,25097498381.790077,25144200429.491272,0.27343447287701755
1,MEM_LOAD_RETIRED.L2_HIT,122226,120589961.03712742,135720176.09392843,1.1254682804992588,3366925.369570766,2491983730.098577,23917234.69395332,30091475.50393,67213676.65289074,129765663.44979325,132797586.13471422,191522806.9332001,194871120.47396642,0.7773455644444951
1,MEM_LOAD_RETIRED.L1_MISS,122226,551387973.7105683,195914812.4875157,0.35531208845398987,52505152.88652603,3160450765.954586,374362811.7247264,391764077.016684,449458522.71978736,520867559.16029775,552293290.8546032,822203768.6059402,838104668.7070752,0.437568078757854
1,MEM_LOAD_RETIRED.L2_MISS,122226,429737757.76209444,91874762.16707648,0.21379262237864363,15673283.585872836,1133576647.6275043,302008685.5076013,321034553.9704054,388932125.65384555,392306210.71568143,422206918.7350223,628891357.0511578,641965912.9084566,-0.2517759599755395
1,TOPDOWN.SLOTS_P,122226,410139102224.63324,20532999637.628242,0.05006350169065888,48246396688.337074,453870843525.08856,386208580579.9734,386992632054.6576,388104269503.3775,409677916471.9931,432744654732.712,433826343485.8058,434721674667.7924,0.3453371813140904
1,TOPDOWN.MEMORY_BOUND_SLOTS,122226,253701520341.7473,29062952716.099014,0.11455568999724525,7093347110.205523,299463179588.4589,220115951646.61682,220654845593.9754,222012551109.2372,250519912713.25375,284955631665.8036,292457716413.3273,294322662818.2943,0.30702687724957783
1,MEMORY_ACTIVITY.STALLS_L1D_MISS,122226,105751688277.6806,2195664875.5551476,0.020762456952836687,1536229658.670626,115548093396.87325,101290874302.45847,103538581488.21764,105392189157.72314,105764280190.09587,106589444228.64249,107422148127.3628,108308026864.85701,0.5637435291786873
1,MEMORY_ACTIVITY.STALLS_L2_MISS,122226,104866311650.55795,2289545689.5455384,0.021832995301435842,1380898996.8900197,114723436740.0174,99940789591.21783,102468435046.85796,104420827643.98837,104819339836.75214,105863490055.59773,106757399535.41595,107542533584.96797,0.4965292538853699
2,instructions,121877,51487416758.32832,20460319546.094753,0.39738485312113087,1298774588.44606,95129738093.36914,21473878939.56489,22185213726.45837,29244792541.95518,54486865226.70391,74131035871.38963,74400868453.63908,74528561844.59935,0.29731854769961247
2,cycles,121877,97836135829.79709,4884410692.382881,0.049924403196791825,5782434990.556585,105129289543.91495,92197902940.22467,92362350397.97159,92586506599.82178,97744218877.94017,103231504510.90628,103437757888.0587,103613672186.36264,0.34989179766574857
2,L2_RQSTS.MISS,121877,1581964741.6964285,311881270.3611617,0.19714805402471494,90534155.45752516,2898733415.8904595,1132047763.527752,1152061809.7448952,1379376201.132126,1554682903.8613162,1683492013.105894,2191353297.854591,2202051883.6861105,0.06437390947799747
2,L2_RQSTS.REFERENCES,121877,2088235765.4386773,429916871.03706414,0.20587563825521932,172777610.78282124,6226735221.745714,1512036058.5112786,1532502889.606547,1831565702.2646315,2018570786.1702127,2234221774.291184,2848645699.5717382,2885745420.506241,0.19105529094652404
2,MEM_LOAD_COMPLETED.L1_MISS_ANY,121877,903672155.6976414,303573472.0758198,0.3359331923217872,31554641.59851703,3733629799.2004147,625790007.2291758,633325182.2045262,635342007.6178344,849794185.816696,1059793120.5408045,1360838029.0150437,1449044400.4320776,0.38050606243144675
2,MEM_LOAD_RETIRED.L1_HIT,121877,17356283503.077698,7389179130.076307,0.425735102147071,194106501.83567575,29743147792.98931,4912403496.327403,5136933816.193222,9935031926.041388,19619387646.15842,24944312875.06997,25034525174.58659,25077265259.970856,0.2680377078240324
2,MEM_LOAD_RETIRED.L2_HIT,121877,123090448.38889696,144068555.3149682,1.1704283898600496,3179706.8848960414,2553527432.998328,24895136.683106516,31182213.569014043,69178789.05079933,131975565.5069112,133675825.25138125,193127675.2475973,196240239.92586812,0.7880433983522058
2,MEM_LOAD_RETIRED.L1_MISS,121877,550517522.0268277,204311083.37127346,0.37112548683112945,11983527.432874283,3208506172.4463673,378199886.8806166,395583161.38688713,451282084.60598934,513639260.5264197,550853027.5241843,821971949.3883625,835744389.2522858,0.4709147407288559
2,MEM_LOAD_RETIRED.L2_MISS,121877,426333783.4146436,92967327.41113615,0.21806230476630564,6116596.620486277,1060042856.2481899,304442670.1493535,322530891.04761434,380373978.20211595,384420968.1059536,421156881.8635288,627190144.2496998,638401914.6944838,-0.24667750783762726
2,TOPDOWN.SLOTS_P,121877,410181233587.1754,20404539962.4213,0.04974518162124729,48221542543.298035,440428592001.8159,386335705118.04645,387052515475.93896,388144770588.8063,409839465808.80035,432756676143.7407,433790503084.4308,434522577027.63947,0.3423396272396868
2,TOPDOWN.MEMORY_BOUND_SLOTS,121877,252370048631.8181,29771480404.516823,0.11796756614312162,30673926252.604134,309098363473.6361,218282926928.96585,218906535742.88065,219800315834.28717,248989227300.34024,284696552873.411,292089995577.1944,293905665571.20184,0.3018016969617163
2,MEMORY_ACTIVITY.STALLS_L1D_MISS,121877,105713290990.29819,2085722738.5449486,0.01972999533934068,2633492438.095521,112104428335.48792,101273548547.91222,103505143914.35088,105453543343.65181,105759170480.01376,106506762104.69601,107266786927.37064,107887870768.21147,0.5410235819457299
2,MEMORY_ACTIVITY.STALLS_L2_MISS,121877,104854167677.68024,2189194973.661412,0.020878473618625788,2622037579.439521,111387663396.60768,99935741525.35262,102450991465.54239,104537368803.23555,104841930351.77603,105796425377.41917,106624207937.53989,107220539871.79909,0.47217155145921047
3,instructions,121818,51519738597.272316,20363145995.503685,0.39524940440171025,1298973144.5776825,87743677745.64383,21559128175.581833,22291722454.49027,29367070912.93257,54471384334.64279,74028212443.95348,74337639415.12474,74470052678.91798,0.29543944352835644
3,cycles,121818,97843591075.57959,4886083681.8767,0.04993769779057301,5782912988.847086,108267468516.69989,92166871718.4918,92342648545.79211,92583216514.9515,97743678412.646,103215056145.96754,103430004611.80008,103621786819.92926,0.3485477819321806
3,L2_RQSTS.MISS,121818,1551944238.6264646,311949089.2202719,0.20100534636241818,97502252.66704603,2907306039.9129333,1121111062.34792,1139212470.5310657,1357451330.652892,1498103782.2555883,1655948202.389779,2165143275.1879888,2173043940.9339623,0.07371547750993543
3,L2_RQSTS.REFERENCES,121818,2066180814.0263278,443313298.9574601,0.21455687515246247,182203750.97682983,6219098646.322251,1497939323.7305443,1516353329.1390033,1811615189.7648025,1970462688.9293888,2216855266.6619315,2841821433.0974264,2882303136.627194,0.22190325280409
3,MEM_LOAD_COMPLETED.L1_MISS_ANY,121818,918757877.8903942,307625838.870674,0.33482797402187076,44120756.40755698,3713727938.1958337,636472224.8479013,646121235.5106591,648443230.5785626,853792765.7456346,1078515960.9746566,1388968893.859417,1477051691.321095,0.3750194939898339
3,MEM_LOAD_RETIRED.L1_HIT,121818,17353714616.39201,7353171243.040157,0.423723185818354,197275455.85671297,27354003190.526024,4919080648.934575,5149750389.903036,9977332156.202007,19550153270.684074,24895752360.013123,24999742802.61656,25042772027.306717,0.26581072063013744
3,MEM_LOAD_RETIRED.L2_HIT,121818,139308345.9384245,141814523.47495258,1.0179901463881844,3489373.350074805,2511530070.686041,30594941.317165628,37501173.272615194,83732455.81415948,149859921.5011082,152014325.329813,215524463.61811864,218719084.83758697,0.7698060414339082
3,MEM_LOAD_RETIRED.L1_MISS,121818,569742182.3629022,206485909.10253075,0.36241990762588083,16826290.184227597,3198657119.326358,395777610.33892876,412769045.9213048,460097674.72730625,536076755.4791157,572400598.0308489,845442810.0462387,860179651.9276197,0.4687462208369702
3,MEM_LOAD_RETIRED.L2_MISS,121818,429423661.5537797,93795771.13265906,0.21842245672555322,9501579.331324322,1095143162.0423176,305367539.0453537,323681338.96415234,384684748.4737771,387541944.0889921,422864709.0774518,628393354.2220291,640774650.5091774,-0.21577404663310795
3,TOPDOWN.SLOTS_P,121818,410195474482.4849,20408159560.495525,0.049752278681872535,48292599702.95086,453780655753.4659,386197359712.1622,386958940733.59235,388121681057.11346,409770168133.0067,432668807938.34766,433738919433.81274,434548530064.3052,0.34119201029997337
3,TOPDOWN.MEMORY_BOUND_SLOTS,121818,251997444960.5025,29744036615.278114,0.11803308807333394,36425957830.68674,298303900110.9938,217478907430.10974,218320595831.95416,219502247052.49374,248332837595.4464,284345985133.21765,291677330842.03644,293538316164.97754,0.29975405117538856
3,MEMORY_ACTIVITY.STALLS_L1D_MISS,121818,105737265096.54593,2064525416.9146926,0.01952505027465604,3673589151.742935,113987075249.87613,101391525594.85536,103571511553.79144,105461990876.37198,105787992086.95985,106516536924.90381,107283183637.33994,107986249081.93791,0.543887404080333
3,MEMORY_ACTIVITY.STALLS_L2_MISS,121818,104865749635.69371,2162297428.0793905,0.02061967263469023,3630648648.8453603,113084532919.19943,100023569100.92201,102483677236.78654,104528289484.89157,104845258668.39838,105804674650.44037,106651098007.68684,107319686265.91814,0.4664345331831424
4,instructions,121493,51360906876.64296,20419836472.870174,0.3975754657509048,1473689547.2646456,74957464214.4587,21445395560.005943,22163694633.925888,29114251208.207687,54512610658.0,73947253914.13121,74273519326.5562,74414164252.88759,0.2969648433272303
4,cycles,121493,97846179236.47205,4903345287.516361,0.05011279260752826,1802033485.5947163,108434644645.91791,92170744239.0128,92362936120.33682,92581172921.35602,97788725552.89249,103242142537.2671,103486767041.68951,103730133833.70595,0.3493261681985664
4,L2_RQSTS.MISS,121493,1590606286.7915297,307288789.59139335,0.19318972403361792,3181616.609148354,2636330387.092239,1132979829.5367537,1157701867.9064984,1385451303.3211155,1573864615.3392708,1693386824.508096,2197078889.5378566,2211423061.8453283,0.043023769599080136
4,L2_RQSTS.REFERENCES,121493,2085065372.823279,390621274.72158456,0.1873424592882978,8243145.980453513,5321154702.130989,1511701229.386355,1536646002.067816,1834734049.6288097,2033397658.864213,2234416704.072179,2849382337.839585,2879925761.478141,0.051043503607332515
4,MEM_LOAD_COMPLETED.L1_MISS_ANY,121493,892707004.9631847,264089783.43917623,0.29583030263111615,5695645.054663379,3226696447.2814713,624097015.8632567,631345034.5007586,633991653.4911001,844058164.7091374,1053496369.3493873,1355707790.893129,1422967075.4104118,0.2127636575157187
4,MEM_LOAD_RETIRED.L1_HIT,121493,17325210906.06581,7381067992.801049,0.4260304842936618,201777091.59625915,25202394500.058456,4905569925.716793,5135287499.708135,9892290468.0,19658371593.23076,24888123874.137012,24997282762.54684,25043620308.145786,0.26906292495743506
4,MEM_LOAD_RETIRED.L2_HIT,121493,114007430.99186042,74227296.34078607,0.6510741948573996,1319603.161584181,1844940613.044206,24745666.827226814,31076564.34519688,68415677.49256277,128599112.49794973,130842424.52361175,190523016.25546932,193572222.63787583,0.5418156635434204
4,MEM_LOAD_RETIRED.L1_MISS,121493,539549434.7830718,147078384.43209288,0.2725948262576281,2276732.8687843266,2793740815.71183,377243457.53099537,394689081.1576725,450261659.1563095,509438873.3144911,544103598.7986628,816931381.0176045,832111236.4098017,0.09726780169718759
4,MEM_LOAD_RETIRED.L2_MISS,121493,424453848.5934441,90141869.92463952,0.2123714279499451,919056.7632369411,952793215.15828,303613479.0167677,322429109.01566434,379509291.9762229,383926527.76880556,419744956.7900091,624884877.5316641,637278378.5681196,-0.30447093907946027
4,TOPDOWN.SLOTS_P,121493,410204590973.7309,20498483372.2933,0.049971365078178766,14815841227.823082,454670247770.4285,386225479212.41724,387040897598.39215,388109006556.0058,409991906814.53253,432786798224.5579,433956041840.39703,435043065246.14404,0.3425352461963592
