rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,25785770748.79544,57067799860.06033,845113188.5949148,1173597716.745805,485736788.75285,8648062257.70392,58034699.32573332,205002129.56071475,146646683.8775458,170920116836.38394,103817742247.99776,43706693025.645256,43281288726.33797,0.4458614877163674,0.02708225958990666,0.7280935469238743,0.6115221319284918,0.7671137613833107,0.7596775774005524
2,25732053748.631374,57076777994.96153,847677391.654952,1174695726.0757828,486133728.4897764,8629127265.407795,58355154.67162939,204885563.8197444,146209345.82146963,170959748888.6028,103721626666.39316,43787141312.641914,43375247862.06562,0.4445868231225573,0.02723193604334783,0.7296728389106807,0.6109174984651101,0.7684311888465551,0.7612218540052318
3,25565274662.372025,57025843810.10578,843188302.8792304,1163307278.0437489,483464199.5987682,8571082172.482888,57844763.710330814,203040485.12083307,144896221.54422504,170797509601.60867,103847938581.53687,43758551338.58213,43351274189.355,0.44209154565539166,0.027273570588421798,0.7323033333409124,0.6122975641611342,0.7686609012333977,0.7615260953864094
