rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,1645734493.5630863,1850833209.2343807,57124679.858115286,91545874.11036322,34358404.16387023,532661006.4280363,17535185.279655803,21866281.69432532,11280870.01461735,5161152360.129238,4091241683.1597533,1694967237.8562305,1696434596.9660552,0.05307591775153133,0.0019909389605693756,0.03047602402825375,0.021983660262560968,0.023036730236925228,0.023570356928593036
2,1746224930.4675608,1963646224.6322134,57083562.20596055,92866799.37854084,35521298.21681639,557925600.7026966,17407338.1785842,21845725.98778398,11176955.549443658,5530746026.430358,3941255245.9980974,1741054050.5279593,1739246426.4810946,0.026315783616044624,0.002086328463800972,0.024642283993840868,0.016940513090718222,0.012970249070504774,0.013282018182304118
3,1712322874.3662546,1897787466.9044216,54113614.135083124,87267506.38088025,35283484.23372476,546883987.8341005,17330208.68899165,21801800.59906059,11041879.393405188,5353864712.76925,3795170455.673496,1679693554.8217018,1677519953.3748708,0.025554344219069856,0.002049578930994417,0.02536423932784677,0.016946607706889587,0.012498517221022477,0.01277308557314462
