rep,instructions,cycles,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_HIT,MEM_LOAD_RETIRED.L3_MISS,IPC,L1_miss_rate,L2_miss_rate,L3_miss_rate
1,4376961716.349463,6896859589.3591,95145701.3099257,1445571472.1498144,6234549.008233595,33460706.697461825,27236210.382294677,0.0,0.0,0.6343481170719839,0.023903040561499878,0.8242201419771548,
2,4403121047.724605,6896649349.117448,94327174.13190305,1455732320.4103305,6498001.151675009,33633012.88734969,27145167.44879437,0.0,0.0,0.6380798150613841,0.023946715572226416,0.8143013800069941,
3,4390330914.251698,6893166075.2169,93907063.75920273,1451809312.8842728,6503822.576227551,33594019.21042251,27101595.124551024,0.0,0.0,0.63654732775355,0.023988072935126982,0.8139030797097411,
