rep,instructions,cycles,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,MEM_LOAD_RETIRED.L3_HIT,MEM_LOAD_RETIRED.L3_MISS,IPC,L1_miss_rate,L2_miss_rate,L3_miss_rate
1,686858481.460243,183197930.07320938,35094597.89070011,289814804.7624976,5823211.730882446,13859603.034482788,12285739.002655767,0.0,0.0,0.09691729224564558,0.011255063732171834,0.12086716463316104,
2,720013404.2798733,186194391.7488344,35646664.30297928,299357163.9282707,5662657.063140158,13761769.306188859,12351069.645336786,0.0,0.0,0.10131248219086175,0.011256422868124664,0.11630580422983182,
3,714883990.7014555,174803428.28127402,35516863.674984135,297576961.7966155,5653342.800109545,13684637.48557987,12308193.342808107,0.0,0.0,0.10109754044645743,0.011295973296266354,0.11697247101998944,
