rep,metric,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf,slope_per_sec,rolling_cv_60s,rolling_cv_600s
1,IPC,29520,0.5091942610775405,0.09703048434674179,0.1905569087550378,0.12838587521262748,1.95473279453219,0.3299730531897977,0.34152199382925785,0.4205373947963378,0.5496472450924708,0.587999814729973,0.6139297409982466,0.6239876994021818,0.6743086812806436,3.061180067383453e-07,0.029697087878239457,0.02688392498889058
1,L1_miss_rate,29520,0.025622931269594813,0.011764681962646639,0.459146607344144,0.004267280942311098,0.23246283318418257,0.013193739217072434,0.015848505760213096,0.01597825505370954,0.019434707600323113,0.03327161575510497,0.04793187459020368,0.04834860639789293,0.5392729784116552,-2.9902380511410066e-07,0.1449474704226069,0.1428534563353314
1,L2_miss_rate,29520,0.8150240502082627,0.10469222870938391,0.12845293176640854,0.13417633262291032,0.9940830101696966,0.49730741695804104,0.5970385581032701,0.7741529760422183,0.8410131244920799,0.8672467699704391,0.9723216117407145,0.9928454525773421,0.3654132862918967,5.811447802205962e-06,0.08450244983832783,0.08170252337601921
1,L3_miss_rate,0,,,,,,,,,,,,,,,,
2,IPC,29575,0.5084545344476826,0.09589432368313203,0.1885996036741001,0.14226759398266328,1.1690093934471557,0.32941462580286185,0.3414408733660004,0.42032521340434714,0.5489423757585009,0.586130340295929,0.6161757973390705,0.6222724120366199,0.672414718598062,3.593018121833128e-07,0.030367668784732023,0.02760214474453372
2,L1_miss_rate,29575,0.025671621141280146,0.011743659810640591,0.4574568838489403,0.0053622683132899815,0.2382521365275681,0.013528978224082985,0.015968966201331813,0.01610839800034143,0.019445636978132563,0.033251565213066325,0.04791697932528001,0.048320509938759755,0.5392586018522022,-2.962396918539063e-07,0.1451869950454317,0.14169596443529572
2,L2_miss_rate,29575,0.8125979393928277,0.10367713462501228,0.1275872477629955,0.3385985627941674,0.9943432707327049,0.4977286887903586,0.5978910057541946,0.7728874936099952,0.8370093386869134,0.8632938657698479,0.972339760740013,0.9934015679077505,0.3492056539902616,5.589688606889217e-06,0.08303331157818847,0.08000525905925475
2,L3_miss_rate,0,,,,,,,,,,,,,,,,
3,IPC,29496,0.5089935887016043,0.09479708344802683,0.18624416014717485,0.11029700204465609,2.147249708912348,0.3297591154698829,0.3435147946682737,0.4220535114320495,0.5501906640859349,0.5887349750455267,0.6076911304071818,0.6232302369986006,0.6680905438067744,2.61179742543967e-07,0.028443582774213928,0.025578838662626363
3,L1_miss_rate,29496,0.02560595650331581,0.011703841292632093,0.45707495016312005,0.009085775206384377,0.24025368478576872,0.013494676211550389,0.015881455545295534,0.01600115768953344,0.019398766898515208,0.03323883359669791,0.04795035202438544,0.04836629846517036,0.5445506070670492,-3.000059551136728e-07,0.14440773564248785,0.14336292873912035
3,L2_miss_rate,29496,0.8168307799764543,0.10500337812586132,0.12854973233120343,0.15386482440898333,0.9946548743870685,0.49701495115598837,0.5974716123221622,0.7731482348215888,0.8470519378310317,0.8673388900722038,0.9722289333009513,0.9933721470137149,0.3723260506872246,5.947767136253847e-06,0.08539862993916783,0.08222833923847436
3,L3_miss_rate,0,,,,,,,,,,,,,,,,
