rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,8411446870.352072,3559451019.7678475,322072991.70642567,423205316.6796571,182911820.3220246,3055106896.5803337,59829141.63892856,84649993.27052653,41494015.03913572,10432002017.786196,11407305068.151611,2386250276.110279,2434196894.297867,0.12828899629148366,0.014946393072023976,0.06759580500787354,0.09320888302616862,0.02979453994479551,0.031045697642252377
2,9480732027.377434,3829932171.483707,289400247.58142924,371251725.21112746,187245128.71408165,3404010729.7438927,61972441.2003366,87121288.61600304,42513694.28895979,11253163636.014719,11014871230.805534,2299044811.9209285,2340998354.605054,0.1430554148629271,0.01610267084104758,0.06937800457066147,0.0922788615306734,0.033681884689253414,0.034859433083999636
3,9394884528.408472,4466877250.419344,293596314.46718055,385395974.8773777,190300873.02842864,3356757793.358287,63708704.20112166,89435427.68180636,42752132.886176296,13125601950.05513,10648317884.28009,2587034255.037748,2608514837.1031685,0.13620713151514394,0.01595480589415791,0.0661656267349888,0.09049877877861136,0.03283401123095128,0.03409713802783922
