rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,23917366086.244278,57180228275.37225,682633918.6635761,955508964.5819906,441792381.48816276,8032719336.062982,39939058.53932247,178153079.72337744,137868973.4610376,171187375872.33267,104576566632.23189,44785047068.85495,44420827980.27227,0.4125012788982686,0.025925375710414315,0.7125620284781164,0.6155458582474381,0.784189581645979,0.7778071600279354
2,25222017279.44734,57475065595.69092,776230955.3444142,1074375397.069237,458149477.5281819,8468466254.461254,45222997.96561868,187608439.88467863,142006353.57198888,172076089843.66745,105051570228.39525,44419118596.57923,44033450345.05722,0.43150786574733696,0.026340492211824128,0.7208576040814559,0.6154958537323131,0.7742800360049525,0.7675639737859805
3,24875485434.050713,57888131327.685356,748599088.7308964,1037592213.1277213,454459607.2317697,8337739406.745556,43697419.35487493,185126325.70079845,141007390.20734826,173268600103.69196,106292184605.18301,44972713873.11524,44601415933.63409,0.4217209313868095,0.026274524402344266,0.7213238504051352,0.6189156829541395,0.7786282807551931,0.7722216237756323
