metric,mean_of_rep_means,std_of_rep_means,cv_of_rep_means,min_rep_mean,max_rep_mean,range_pct_of_mean,mean_within_rep_cv,ratio_between_within,kruskal_H,kruskal_p,anova_F,anova_p,eta_sq
instructions,26425693983.1517,10778910.152045438,0.0004078950645125073,26414559552.821583,26436078173.50703,0.08143067387054198,0.274236766257651,0.0014873828556207583,0.6432493413085467,0.7249702418787998,0.016983917580323228,0.9831595084112037,1.4755130116269363e-06
cycles,57608338181.602486,32328577.29460536,0.0005611787861801168,57576026940.15139,57640684066.896904,0.11223570890326862,0.05129999153311051,0.010939159430814248,2.502657012671989,0.28612442614066796,0.9184251142589138,0.3991617820205572,7.978383552240634e-05
L2_RQSTS.MISS,857816503.7310213,3236771.5255897036,0.0037732679559224617,854408579.4814187,860849461.394038,0.7508461173928229,0.20141805749473837,0.018733513781509042,31.99394860967599,1.1287618749315321e-07,2.6933426596947654,0.0676757337605043,0.0002339353278916246
L2_RQSTS.REFERENCES,1180651040.2097454,1188698.5683204858,0.001006816178393669,1179694626.3077323,1181981865.8459532,0.19372697438309536,0.22196793982121232,0.004535863058442699,0.8930062426313685,0.6398617629715788,0.15789842693372783,0.8539374393245929,1.3717584896281774e-05
MEM_LOAD_COMPLETED.L1_MISS_ANY,492491298.9254387,3654734.0459328885,0.0074209108950901515,489573810.4788218,496590739.4242385,1.4247823181296497,0.34821478979934234,0.02131130300170888,15.677970591867052,0.00039406870096565555,3.487247928856879,0.0306010859179098,0.00030287057417786937
MEM_LOAD_RETIRED.L1_HIT,8860209897.93931,518462.4230776134,5.8515817237941095e-05,8859680616.16356,8860716817.356028,0.011694995992225121,0.2884331791211791,0.00020287477819379756,0.5071476637167507,0.7760224476305304,0.0003159736381960504,0.9996840762796468,2.7450903915754177e-08
MEM_LOAD_RETIRED.L2_HIT,59646775.44396786,2108493.1354442704,0.035349658380527,58166436.28841392,62060919.42137464,6.529243373129528,1.0905533875965832,0.0324144226065194,270.098636669987,2.2326788703472497e-59,8.079607378179315,0.00031067194856759187,0.0007014412934216261
MEM_LOAD_RETIRED.L1_MISS,209548736.10730484,2098844.2859805617,0.0100160197812207,207931711.36400366,211920600.82934132,1.9035616913933806,0.4310797697916428,0.023234724714782655,47.10084298803504,5.918094540443924e-11,4.14509953588112,0.0158536842717434,0.00035998500171300946
MEM_LOAD_RETIRED.L2_MISS,149616425.42730543,130990.19738217499,0.0008755067968511223,149482369.2878926,149744117.69917852,0.17494630722419144,0.20751711197049297,0.004218961937826175,7.74708230707464,0.020784637361868922,0.1364958966265677,0.8724106061206506,1.1858240565170005e-05
TOPDOWN.SLOTS_P,172533191319.68118,90522896.54354714,0.0005246694612853951,172443656004.04315,172624670488.27466,0.10491574568751265,0.04981992948252759,0.010531316819093504,2.2856700824268046,0.3189136057609776,0.8512455798438947,0.42689632024643753,7.394836294051562e-05
TOPDOWN.MEMORY_BOUND_SLOTS,102865076902.9843,246810422.02930504,0.0023993606913071254,102580557344.21193,103021544072.32324,0.4287040280222831,0.08847136184604283,0.027120196199562,9.93784851883538,0.006950621079664257,5.647307583837271,0.0035318880616419376,0.0004903816730546939
MEMORY_ACTIVITY.STALLS_L1D_MISS,43820253857.07067,55613539.12396854,0.0012691286386738937,43763539854.37645,43874697390.53098,0.2536670292168958,0.042129323893656735,0.03012459069785789,53.04225716157816,3.0340323250548208e-12,6.964130618308582,0.0009471768505339633,0.0006046583292406327
MEMORY_ACTIVITY.STALLS_L2_MISS,43421213198.75348,69961907.35150275,0.0016112379686689913,43350093457.05346,43489956728.76959,0.3221081619160016,0.0426011037411532,0.037821507594239044,84.72631289503624,3.9986640561383425e-19,10.9772126050335,1.717627281214704e-05,0.0009527608658570203
IPC,0.4551121459600052,0.0004199070687838106,0.0009226452699873925,0.4547840050698915,0.45558535167252784,0.17607673399839066,0.24274002029095443,0.003800960669285131,0.7138378146119067,0.699829246472595,0.11080204772456247,0.8951163989884215,9.626078896252049e-06
L1_miss_rate,0.024923217907689962,0.00023548361990878374,0.00944836340078406,0.02476960980332783,0.0251943308581517,1.7041180492701327,0.46175025124791436,0.020462064449882064,13.14945608360722,0.0013951852988633537,3.2121623237701957,0.04028749289332731,0.0002789858108735191
L2_miss_rate,0.7307283420567687,0.003296523721936198,0.0045112848814068554,0.7276924426779695,0.7342348980095204,0.8953334577301199,0.09231798514500848,0.048866803952889074,451.7710954095528,7.927807388459655e-99,18.324388575074114,1.1172414540849164e-08,0.0015894412090475907
MemBound_frac,0.598912227835617,0.0016686748870408464,0.002786176019600064,0.5969961800255398,0.600046451827955,0.5093019745879098,0.11874849933934188,0.02346283140503648,7.861946914490545,0.019624559582034132,4.226765185523795,0.014610872710232052,0.000367074727148829
StallL1D_per_cyc,0.7612994539850416,0.0005734180698677913,0.0007532096166182959,0.7606949815594837,0.7618357160466194,0.14984044467186902,0.030850195224887703,0.02441506807745129,12.877807198448863,0.001598157942001735,4.567497274649252,0.010393327171528027,0.00039665397321642044
StallL2_per_cyc,0.7543885109493339,0.0008227206378546664,0.001090579490426415,0.7535343659461408,0.7551757174302939,0.21757376475519466,0.03233583638309112,0.03372665167852887,24.157027817833296,5.680257970524721e-06,8.716917101414953,0.00016433260570536374,0.0007567282710401806
