rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,720348709.8423071,882725864.1350735,29593850.953804467,36283029.43131969,12762079.900089225,248932499.04176834,4297462.332024453,5421090.843504725,4787252.630539338,0.0,0.0,771339843.7820932,768756524.60202,0.03967923066766883,0.0013151998592216016,0.01851762842785717,,0.017959186977312684,0.01823427005922416
2,727440048.5658194,747618047.0712227,29729619.278672665,36966870.59035887,12821357.264796875,251295021.62412068,4338917.650823725,5370610.549355313,4410533.329773332,135604566737.4465,167275419567.34714,680074324.1530089,677307065.1813481,0.021539496811398735,0.0014472107040181038,0.01343733595898035,5.81492093735683,0.01322625014906023,0.013317272106777443
3,732043172.0668747,805725795.4385555,29840422.310245186,37291462.98671969,12913264.211881647,252138765.0875074,4281560.802491981,5193243.240601392,4310554.622276702,6294045.239524207,0.0,661572273.770842,658531694.7687825,0.024539612688031044,0.001397195998322879,0.012909952775363491,0.39478182595322586,0.010475094258343136,0.01062728773781523
