rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,13599740104.178795,28749638208.23991,320307880.02245593,448245866.56480956,286493313.204946,4436094449.750995,23002449.41046049,119628233.34820922,96354128.41785105,0.0,0.0,21759328384.91643,21628028919.770325,0.4737180209816036,0.026306385416795672,0.7139416642688837,,0.7565490609122293,0.7519799551219334
2,13617792710.414059,28740946331.7399,324204031.6448492,451670650.4658509,288147046.4652817,4441713775.2330675,24134560.828685258,120567287.10785429,96121325.48747866,96757750721.77538,108820733429.17131,21728352986.85145,21602100105.323563,0.4738411142221937,0.026483314495682326,0.7172309463363269,3.7858949250360947,0.7559266420356603,0.7515356367691792
3,13622621257.533049,28762629543.254986,323989243.8752137,452138674.4846154,287240343.4327635,4444429334.965242,23159757.41794872,119806991.55185185,96300162.06837606,429777.0851851852,3.6683363892e-313,21743598691.736465,21614216755.43305,0.47380779453399713,0.026306736979444897,0.7159964205375715,0.181823159984373,0.7558862144891603,0.7513884085742836
