rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,124944,1.001069403,125124.61896419,125123.61789478699
2,epidemiology_2.perf,126478,125125.619974084,251785.771980321,126660.15200623701
3,epidemiology_3.perf,124420,251786.774966442,376385.19496912,124598.42000267803
4,epidemiology_4.perf,123139,376386.198970976,499701.590956774,123315.39198579802
