rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,29520,1.001049804,29556.217128804,29555.216079
2,epidemiology_2.perf,29575,29557.21833189,59167.560419704,29610.342087814002
3,epidemiology_3.perf,29496,59168.561609282,88699.045025755,29530.483416473
