rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
1,instructions,1955,48189574797.77685,3171770051.128278,0.06581859384396566,15067869402.607012,64707780181.57064,44181448514.9162,44392203452.42337,45666348953.77132,48176137921.373405,49948888511.240715,53574066260.86522,57333807741.338684,0.07313068276821301
1,cycles,1955,101872183277.09152,3262700362.2319827,0.03202739214253869,6875683064.15152,104466771591.19623,99869068981.87317,100269060703.68817,101265723490.91504,101915302781.32228,102820555186.36256,103562495583.71962,103818288333.7294,0.6652500564082466
1,L2_RQSTS.MISS,1955,963109815.9672927,77519206.34400886,0.08048843969693423,81415434.36627741,1497002665.490316,842605531.1682407,868616712.3099024,897624300.6208162,966371102.9935495,1027700885.8793544,1049016022.9082355,1056846612.9040116,-0.3158041254600682
1,L2_RQSTS.REFERENCES,1955,1380818996.844327,108684950.42186752,0.07871049766135324,395865000.97121197,2343303278.9387355,1217306327.7990506,1230695622.1744962,1309043323.5199668,1380965639.920306,1447564820.2597,1504044910.3802433,1560683761.7377477,-0.06301554647092644
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,1955,1007309183.0040659,67601666.82219915,0.0671111392239996,245602410.71819568,1141036053.068117,899703619.5515664,909636064.5701071,966538020.9792087,999521464.0,1058367004.307495,1115970866.9144974,1132165620.358366,0.6755991875944598
1,MEM_LOAD_RETIRED.L1_HIT,1955,15770172968.41349,1024830889.8259248,0.06498539311386035,3466288982.906125,21211254437.56306,14557460872.55413,14649230424.42518,14903588875.083853,15776541627.03516,16348727859.513504,17380686362.140865,18656189092.104683,0.041436876656664616
1,MEM_LOAD_RETIRED.L2_HIT,1955,144463016.71196064,48584332.545912944,0.3363098296831459,65529923.980550684,345887552.74895984,98380790.66462727,102082993.26321311,112486019.38745674,124045775.27802172,159885423.76009077,262036874.0680957,301948876.5050119,0.9599884396970155
1,MEM_LOAD_RETIRED.L1_MISS,1955,673212661.6090066,63534412.46242706,0.09437495175830046,94358986.06436089,820191241.3809092,580438984.7798148,593366430.3525851,623235511.554678,662047107.6065478,718703774.799268,776724297.6627743,807624812.0355151,0.821700509826388
1,MEM_LOAD_RETIRED.L2_MISS,1955,527573597.4703669,33613651.23521945,0.0637136721708434,14579452.703396318,588032014.0816559,474088930.09360397,485244961.6280157,506164018.3490654,527656025.1822821,549076619.0187997,571356239.0557882,581189718.9020439,0.6275529238695118
1,TOPDOWN.SLOTS_P,1955,427133009048.0993,12744943280.985012,0.029838347800344805,57477290035.15671,439336571501.4802,418282043633.5887,420147521411.90405,424653033120.7876,427279257399.97345,431135302575.6644,434230799815.1714,435123534427.9395,0.6349279220084787
