rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,15614,1.001053585,15636.456392192,15635.455338607
2,epidemiology_2.perf,15650,15637.457616673,31308.976099138,15671.518482464999
3,epidemiology_3.perf,15749,31309.977297849,47080.661995969,15770.68469812
