rep,metric,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf,slope_per_sec,rolling_cv_60s,rolling_cv_600s
1,IPC,33327,0.4125012788982686,0.12828899629148366,0.3110026631532514,0.19379756208933988,1.8587152103502602,0.20934921905351325,0.21696651032646583,0.2859380208553217,0.44866741754462536,0.507826326121823,0.5932039989460159,0.5994714134305009,0.7706696023466633,1.234664097928674e-06,0.04418841041681911,0.037841637084256176
1,L1_miss_rate,33327,0.025925375710414315,0.014946393072023976,0.5765159679448718,0.002329574025210114,0.09856547858031457,0.013314967560656043,0.013724051010867079,0.013950352354848376,0.01708428410264656,0.04503598418028118,0.0473203310804416,0.06739389980624487,0.7394151408706817,-1.3784294791324384e-07,0.23366601351492525,0.20855197095231526
1,L2_miss_rate,33327,0.7125620284781164,0.06759580500787354,0.09486304673327044,0.18630084168248795,0.822006958823995,0.31200099779172924,0.6623360650017808,0.705909451946555,0.7201561067071199,0.7498196678946383,0.7646254354680785,0.7697607762949981,0.8609577825407542,2.9546658038823402e-06,0.07639567579051688,0.06724184717320757
1,MemBound_frac,33327,0.6155458582474381,0.09320888302616862,0.15142475865494387,0.18307370831521647,0.8518829867138467,0.5024036285159167,0.504316446322007,0.5329708000256684,0.583896508221874,0.7175009556537988,0.7477131862740414,0.7625427063093707,0.7046379042944028,4.266778915179495e-07,0.01720668505307509,0.012146337712479645
1,StallL1D_per_cyc,33327,0.784189581645979,0.02979453994479551,0.037994052257437676,0.009331558856907191,0.8710309058629694,0.7365927978482892,0.7395975883969027,0.7685846918450303,0.7820741166190144,0.7999358752287867,0.8377030023586348,0.8424082677879569,0.40862076686138205,-1.1010241062118906e-07,0.010729286174944312,0.008610781506686085
1,StallL2_per_cyc,33327,0.7778071600279354,0.031045697642252377,0.03991438911559692,0.007890200090575328,0.8688036470026124,0.7291809719387354,0.7329318191546589,0.7605427884609567,0.7755647733338263,0.7942112233536709,0.8344064115971725,0.8394543471247553,0.3806544781035847,-6.388732067199538e-08,0.012178900727046528,0.009734090300988398
2,IPC,31616,0.43150786574733696,0.1430554148629271,0.3315244662230354,0.10042614181084922,1.7783800240129284,0.21357650152828037,0.223111630595565,0.2876387029347909,0.45516143826477007,0.5740995158442644,0.608572344679321,0.6113401074471828,0.7553592931842878,3.3383792870601576e-07,0.04510548228714554,0.03866273083813275
2,L1_miss_rate,31616,0.026340492211824128,0.01610267084104758,0.6113276362322175,0.002448704204270853,0.24664236145436413,0.013261387469094152,0.013690681698563042,0.013916945029102335,0.01783456932309494,0.04513917993482392,0.04722640441849693,0.0682856171919888,0.7545169906072913,-2.0806540188024546e-07,0.24814701147764662,0.21001178863346087
2,L2_miss_rate,31616,0.7208576040814559,0.06937800457066147,0.0962437021928423,0.2601280765241536,0.8261899672670169,0.3163931259161592,0.6643047663526875,0.7102032120263877,0.7381691158630701,0.7535795319228012,0.7654353974087195,0.7696394946070434,0.8783640543711632,2.821672974801995e-06,0.07814585260276298,0.06980582625191133
2,MemBound_frac,31616,0.6154958537323131,0.0922788615306734,0.14992604900764553,0.2950122707807032,0.9225487815953591,0.5055371601054774,0.5070939668850811,0.5286273651032245,0.5912589935528401,0.713086522991514,0.7461274393611392,0.7598704622296433,0.6868419131838049,8.058602055140995e-07,0.018913606771525662,0.014714111533338231
2,StallL1D_per_cyc,31616,0.7742800360049525,0.033681884689253414,0.04350090809914409,0.009386320230966078,0.9115718001884755,0.7324200864424082,0.7334315161138755,0.747501630552992,0.7712451729836998,0.7959301642416081,0.835369566733237,0.8402751323147234,0.3907845462332507,3.582024401516442e-07,0.011047927070439757,0.008177929641619919
2,StallL2_per_cyc,31616,0.7675639737859805,0.034859433083999636,0.045415671233313346,0.008352716500851292,0.8990676578786699,0.7209811218970683,0.7266388944646237,0.7411044511672514,0.7627710301558013,0.7903091911968836,0.8319918820672778,0.8372245360537315,0.3609167453455511,4.3412569529513866e-07,0.012460542300037226,0.009291154698428051
3,IPC,32062,0.4217209313868095,0.13620713151514394,0.322979300712519,0.12574679449215423,1.3955558957089917,0.19975258481483338,0.22103642891846845,0.284774216299826,0.44728006212733695,0.5702136506758719,0.5785333405892178,0.5932033479935653,0.7648861581402746,6.617037971624805e-07,0.055875735171278015,0.04645229017682023
3,L1_miss_rate,32062,0.026274524402344266,0.01595480589415791,0.6072348123163132,0.002752688360464148,0.2467176700258145,0.013231928330760562,0.013651882979146233,0.0139372665367223,0.017625149283843553,0.04513594190042372,0.04753173343111819,0.06799420250373905,0.751495301703776,-2.043148754321242e-07,0.26522140338727196,0.21105842539737021
3,L2_miss_rate,32062,0.7213238504051352,0.0661656267349888,0.09172804517392089,0.26124699144483715,0.8217905346869392,0.3288815004246468,0.6662185710181461,0.7066893225489266,0.7338326365683725,0.7551891189080261,0.7653782273398223,0.7694175837509678,0.8725675646518549,2.617928232327904e-06,0.0737847172743801,0.0656698798182819
