rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,7731844610.057767,3499184260.95462,326569835.72017753,433063706.1759987,179542409.9221827,2826448388.069016,58647165.925297,83172319.0587265,40663938.64219105,10221026894.636417,10468449539.318914,2426170223.834401,2475399177.5986023,0.11815527529386431,0.014981898582767187,0.06488092165283842,0.08687812279522188,0.026632451331674755,0.02794469656337644
2,9401140850.870356,3512480286.9714828,268499310.1509687,339702064.1511667,186497045.59286863,3384043102.2219095,63422105.071954116,88110922.6933393,42478380.77753512,10300343756.388918,11779060731.54317,2040435434.3323286,2083254228.5447357,0.14481056837739295,0.016460429549366388,0.07170765562598856,0.09625259527566578,0.033965037307672655,0.03510246945039762
3,8311822788.4586115,3824883141.752814,310161487.69402003,408268691.1493882,183232872.83008605,3015382300.4233685,60781377.56417606,85634327.2972159,41390821.62368381,11144083487.839046,10770251655.107365,2575305998.841967,2613995977.8282957,0.1265386218983048,0.01613869096933762,0.06660119535491373,0.08901547696772896,0.028323764121723098,0.029559406527414518
