rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,23003683606.33114,56955173864.0305,620447764.9475659,872924103.7878971,429647897.1573312,7722388917.514415,37249404.25339797,171908488.68199003,134318024.7574236,170482076704.57355,106097739952.59036,45066239130.40383,44723120053.99117,0.3987017099481376,0.02585719042829007,0.709372237008787,0.6265205433214133,0.7920238258622823,0.7859812054239302
2,24950327614.932896,57033554677.46288,807751999.3587987,1110382029.3380573,456979926.8632567,8382042412.533928,48671567.456999846,187443537.5542312,138406799.3032692,170792260042.99887,104100390020.81111,44158439088.167435,43781151130.45431,0.4305727676896196,0.02673479796893141,0.7261267134602652,0.6144334973899335,0.7756784097104106,0.7690631454334736
3,23771742032.13923,57081905264.08783,664783857.1711515,927915129.4603521,440402815.5140811,7978205178.70355,39959021.729743436,177539049.5914081,137183819.16593078,170929191785.85135,105663848089.96426,44829979659.7381,44478229029.166405,0.4104236734796761,0.026181987069308226,0.715734349905763,0.6228662125865695,0.7864056006490109,0.7802296221253936
