metric,mean_of_rep_means,std_of_rep_means,cv_of_rep_means,min_rep_mean,max_rep_mean,range_pct_of_mean,mean_within_rep_cv,ratio_between_within,kruskal_H,kruskal_p,anova_F,anova_p,eta_sq
instructions,7178958115.503417,7661261.019397205,0.0010671828552463935,7171497619.830296,7186805482.920563,0.2132323777904328,0.241111371777562,0.004426099222855927,0.33762455923715606,0.8446674498002232,0.5787939455353381,0.5605761617024398,1.306692514738285e-05
cycles,13985582039.31059,6380539.339524716,0.00045622265284278726,13980884006.15513,13992846098.677134,0.08553160310654355,0.08837665291333167,0.005162253126854567,3.494136773959326,0.17428412887338124,0.7870133191638671,0.4552054937223595,1.7767628477979075e-05
MEM_LOAD_COMPLETED.L1_MISS_ANY,149451849.48518136,306110.3085219639,0.0020482202768077203,149198819.96344885,149792106.0688907,0.39697474971740965,0.3536267925701537,0.0057920392906920005,10.011126207051989,0.006700567172701765,0.9904650829397428,0.3714080301034943,2.2360656872034128e-05
MEM_LOAD_RETIRED.L1_HIT,2375018401.595097,2438317.5966628627,0.0010266520861586812,2372715446.605173,2377572623.3425813,0.2045111201726273,0.25997308904343347,0.003949070613178579,0.20794906952505698,0.901248247629634,0.4607326656327913,0.6308228066380142,1.0401586519214961e-05
MEM_LOAD_RETIRED.L2_HIT,11677630.35528501,103936.83338871434,0.008900507228478514,11583503.906800922,11789176.322231615,1.7612512913427736,0.8348456221531436,0.010661261186856664,33.16201963001312,6.294466593424938e-08,3.358348271136702,0.034797109240290426,7.581373689900345e-05
MEM_LOAD_RETIRED.L1_MISS,58112951.11169901,31534.29967966409,0.0005426380707985722,58093059.12371274,58149310.05075233,0.09679585352921762,0.36940924573150075,0.0014689347304343869,8.162576322916598,0.016885700128858153,0.06376925029634874,0.938221511953266,1.4396793807078603e-06
MEM_LOAD_RETIRED.L2_MISS,46438435.04768282,78772.54833212013,0.0016962791328182518,46360096.52050719,46517634.55909276,0.33924062777699965,0.3593565718862073,0.004720323115046273,34.11298402476459,3.9125476377311224e-08,0.658085646309354,0.5178442499569289,1.485699799368373e-05
MEM_LOAD_RETIRED.L3_HIT,0.0,0.0,,0.0,0.0,,,,,,,,
MEM_LOAD_RETIRED.L3_MISS,0.0,0.0,,0.0,0.0,,,,,,,,
IPC,0.5088807947422759,0.00038254506881669505,0.0007517380745532676,0.5084545344476826,0.5091942610775405,0.1453634402203213,0.1884668908587709,0.003988700992136535,1.1738615751382895,0.5560312465002739,0.4701351325971985,0.6249193749697525,1.06138561125784e-05
L1_miss_rate,0.025633502971396924,3.4084920844728703e-05,0.001329702026397339,0.02560595650331581,0.025671621141280146,0.2561672434610647,0.4578928137854015,0.0029039591501877652,27.980410718155326,8.397132612174639e-07,0.249163565233488,0.7794530178741748,5.625189949905292e-06
L2_miss_rate,0.8148175898591816,0.002123959570803115,0.0026066687774501554,0.8125979393928277,0.8168307799764543,0.5194832114949967,0.12819663728686917,0.02033336312572022,47.39231557578751,5.115515800289156e-11,12.212484497326992,4.976412893045637e-06,0.00027563819637257687
L3_miss_rate,,,,,,,,,,,,,
