rep,file,ticks,ts_start,ts_end,duration_s
1,epidemiology_1.perf,21506,1.001039521,21531.370063117,21530.369023596
2,epidemiology_2.perf,21548,21532.371251319,43104.839335218,21572.468083899
3,epidemiology_3.perf,21621,43105.840501487,64751.277539682,21645.437038195
