rep,instructions,cycles,L2_RQSTS.MISS,L2_RQSTS.REFERENCES,MEM_LOAD_COMPLETED.L1_MISS_ANY,MEM_LOAD_RETIRED.L1_HIT,MEM_LOAD_RETIRED.L2_HIT,MEM_LOAD_RETIRED.L1_MISS,MEM_LOAD_RETIRED.L2_MISS,TOPDOWN.SLOTS_P,TOPDOWN.MEMORY_BOUND_SLOTS,MEMORY_ACTIVITY.STALLS_L1D_MISS,MEMORY_ACTIVITY.STALLS_L2_MISS,IPC,L1_miss_rate,L2_miss_rate,MemBound_frac,StallL1D_per_cyc,StallL2_per_cyc
1,7185699955.097411,3046384928.847907,171818876.80615166,249274355.59057546,168794216.8875942,2533688619.558762,63542772.75206815,87900797.52783608,29913907.845764834,8875077123.939596,8538463434.954349,1891378556.0829966,1887745543.5834036,0.11056266058842296,0.011047533651775325,0.06921666081127427,0.0685562739016471,0.02433411360796965,0.025170393188272733
2,6995284889.589628,2989034241.9675727,172819859.86634952,259628975.97725692,175402291.2896162,2458363323.6657867,66919566.962088086,92281865.38477848,31599799.168197554,8704932094.130789,9208773588.056923,1922797555.4105856,1933261306.0351944,0.1057471201709537,0.012034262742137078,0.07276091476506581,0.0719482904109577,0.022560333298884325,0.02354445251604945
3,7187290463.095425,3066214282.5040255,168648258.6795018,242374690.21737984,175601525.49547005,2534193331.849478,66448122.27167811,92060109.02896258,31717640.732192963,8923870398.186762,8802605804.549294,1936894347.1799433,1938109562.8027673,0.10876063408049483,0.012024609165494965,0.07451959925476358,0.06949965784754181,0.023157674606350383,0.024055241790678514
