rep,event,n,mean,std,cv,min,max,p1,p5,p25,p50,p75,p95,p99,lag1_acf
1,instructions,7669,52853810947.17633,14378466171.361265,0.27204218416211334,3190737201.2085776,77334967530.61636,29509973685.016663,30709759465.57411,39869156796.82096,53765998841.034424,65626791238.8198,73915727486.77043,74360795097.0978,-0.7429096951137877
1,cycles,7669,99027974265.77371,5149859233.159611,0.05200408542477393,5780242966.287733,108570848236.0806,92502879910.06398,92874399240.27159,95970553079.82147,99271699510.30621,102759547278.23593,104879733100.82928,106661958594.843,0.015544337820304394
1,L2_RQSTS.MISS,7669,1470656747.0948443,298354280.8372342,0.20287145958879077,80722853.02247877,2642091363.242071,590855770.6686814,913939952.1892742,1304834164.6107383,1445823747.3710217,1747230864.6915674,1827034656.3252451,1991570947.086357,-0.02733289716204988
1,L2_RQSTS.REFERENCES,7669,2021921044.3825588,437029558.9498299,0.21614570962798754,261772477.66465828,4858542650.100796,890685756.6961648,1484583885.4747756,1750653451.9502752,1930712631.5457618,2354567828.8764496,2467345431.5365114,3498155228.349137,0.09129229022745308
1,MEM_LOAD_COMPLETED.L1_MISS_ANY,7669,979499225.5587748,340780993.27195895,0.3479134892399263,130278099.7094329,2430454839.1178555,621873661.7247365,637587506.896384,713433559.8799672,934034964.0,1139348434.6775193,1688669026.6422327,2337719036.08047,0.33581506955966467
1,MEM_LOAD_RETIRED.L1_HIT,7669,17725610406.116814,5069795494.438685,0.28601528400337534,910017533.0080949,25103289514.75491,9547191610.014124,9980052241.874723,12913116065.591505,17975034314.32916,22501542788.0,24836912050.990166,25005606840.532795,-0.7444760425103901
1,MEM_LOAD_RETIRED.L2_HIT,7669,171530974.1870484,191634992.81345168,1.1172034305855487,26734462.575364456,1297111181.48169,66669374.87139784,72291609.37878649,90267431.39099547,130224750.16570161,160625448.5087027,550973730.180612,1181635764.538863,0.7171881729314746
1,MEM_LOAD_RETIRED.L1_MISS,7669,620334540.6479868,265930766.0306146,0.4286892774869986,82433075.53732157,1935196855.0299308,418875796.6809508,439106581.102264,486683513.9144882,535187799.7938817,652146188.4556503,1260336047.0526903,1874974658.3459585,0.6324246128963265
1,MEM_LOAD_RETIRED.L2_MISS,7669,448024561.85176593,91161619.86807935,0.2034746030246467,14996265.514342634,1004510417.3531381,338972345.30677086,362247281.6900615,389986182.0790325,416613786.7884744,487388552.4487007,639376183.7123163,801284643.7939723,0.33968135898856056
1,TOPDOWN.SLOTS_P,7669,415228640727.57635,20986423685.954082,0.050541850025520946,48270380505.82127,454913241528.9673,387704155380.02716,389383688262.3874,402448563361.7272,416294475071.97107,430849255172.6724,439750093094.43567,447132458869.7663,-0.03567667041728939
1,TOPDOWN.MEMORY_BOUND_SLOTS,7669,246662557854.38382,21915599966.113365,0.08884850687006637,8642948789.906515,290749570338.13165,210647369612.85583,216249172891.20816,229700711149.5581,246660380488.83344,264473797840.39078,278688080732.38055,281307126205.4729,-0.4832138506547355
1,MEMORY_ACTIVITY.STALLS_L1D_MISS,7669,105364003809.57062,4509849413.554712,0.04280256302432829,1769399449.8062487,115194067283.61462,99345751659.17723,102862831224.50513,103803282016.33253,105298802828.60196,106579729196.78723,110165062232.82332,112027116316.59233,0.6971625071381518
1,MEMORY_ACTIVITY.STALLS_L2_MISS,7669,104398792801.03694,4509928461.83297,0.04319904800458741,1579862598.977972,114252674423.20555,97033665971.48479,101869969222.0032,102886761238.42566,104376028574.31526,105645637964.94458,109143304543.58592,110732645772.61981,0.6992638320644589
2,instructions,7639,53058110092.121826,14545387223.726177,0.27414069589873885,1991533536.8080451,79074349701.05063,29647627723.58642,30645540305.060345,40071652074.407906,53818274392.33037,66103214684.355804,74440913769.63022,74926070359.21608,-0.7471534991352023
2,cycles,7639,99307267702.14442,5434995833.755012,0.05472908438138057,5778743940.184322,108594075438.2324,92542258702.09515,92870166552.9139,96043480918.5691,99493715340.05957,103049896914.89075,105771928268.3108,107281035134.15704,0.051892480340964914
2,L2_RQSTS.MISS,7639,1521525040.2252462,295906824.5101972,0.19448041713884068,173203288.66537818,2603352646.897658,605510275.5182459,926857529.8626062,1346361639.066297,1535666937.2496066,1784829439.8256435,1872533701.0908437,1965983113.7908802,0.026456341438576746
2,L2_RQSTS.REFERENCES,7639,2075757355.868552,419213760.71957856,0.2019570156089696,247181469.71076158,4880420363.731575,909083531.0680798,1554744063.4511538,1805087998.1156757,2020277463.5862725,2402364821.904746,2482544511.6003237,3474726080.2942533,0.09865242836955798
2,MEM_LOAD_COMPLETED.L1_MISS_ANY,7639,982573626.5850391,345128575.35263354,0.35124958172563325,129028350.21285944,2440394010.4630513,620974273.34453,636871243.0310425,714834267.6375337,937274940.0,1138604173.5129476,1706376880.2811606,2373558291.690127,0.3505291168426688
2,MEM_LOAD_RETIRED.L1_HIT,7639,17806143532.702106,5131845430.46477,0.2882064508263573,302257621.205233,25355855061.096634,9578713488.65377,9995615093.460497,13037946466.919992,18017761049.25863,22641705100.370834,25047655113.765236,25198183309.210976,-0.7499962807426974
2,MEM_LOAD_RETIRED.L2_HIT,7639,173725589.98532644,194945935.18650916,1.1221486437488863,8666746.539835649,1322768413.4925013,69390443.4426543,74260245.88563746,90791825.04119325,130022785.12779564,163187305.43689203,557227521.1282668,1207090170.8957179,0.7147403128784954
2,MEM_LOAD_RETIRED.L1_MISS,7639,619213543.1413677,272055503.39318734,0.43935651344608356,82836594.84108734,1965486651.326767,419503255.4301213,438405632.2860496,482260263.5461089,534145508.9534878,650703032.4235803,1246968022.9067655,1909491414.0472095,0.6368666691348149
2,MEM_LOAD_RETIRED.L2_MISS,7639,444815771.4413043,93623416.83992141,0.2104768374928799,51935765.50439373,988701997.0277833,337640454.9015186,359896391.4775112,382847009.58859724,412977038.63375217,483504519.06566566,640957117.4704694,808588111.5565202,0.35891124955432
2,TOPDOWN.SLOTS_P,7639,416394640671.8174,22156338609.682026,0.05320995143917956,48354716820.556465,455243490355.5994,387858916362.8789,389274908129.8373,402676607225.0012,417145253758.33,432065756427.4215,443548816021.7459,449549109909.22626,0.00618643272158121
2,TOPDOWN.MEMORY_BOUND_SLOTS,7639,248272450404.9796,21202417754.015514,0.0853998005796871,36261060503.41289,289499608453.72156,214521368788.03003,217810999276.5251,231782123449.79498,248518664162.4214,265297552940.3108,278836492119.2986,281188353627.03827,-0.48223687156842077
