rep,llc_mpki,lfmr,ipc,mem_bound_frac,l1_stall_frac,l2_stall_frac,l2_hit_rate,l2_miss_rate_req,l1_miss_rate
1,7.0849468395408,0.8328540279152419,0.655455582378461,,,,0.16484240104743664,0.7187771250504618,0.025664974827411216
2,7.07680088410744,0.8307314974080682,0.6538288795761902,,,,0.16692554027837456,0.7186637694627448,0.025669476172407005
3,7.077532185598726,0.8332402059366215,0.6493774718475973,0.6667274938043359,,,0.1644798553217478,0.7192400432984194,0.02563211323423906
